Date,Open,High,Low,Close,Adj Close,Volume
2016-03-10,42.110001,42.110001,40.910000,41.630001,40.649014,5812300
2016-03-11,41.889999,42.500000,41.700001,42.470001,41.469223,5701500
2016-03-14,42.310001,42.700001,42.119999,42.590000,41.586395,4568000
2016-03-15,42.299999,42.490002,41.980000,42.110001,41.117699,4445400
2016-03-16,41.810001,42.430000,41.590000,42.310001,41.312988,4792900
2016-03-17,42.310001,42.310001,41.820000,42.099998,41.107937,5960600
2016-03-18,42.310001,43.529999,41.750000,43.439999,42.416355,13746000
2016-03-21,43.320000,43.779999,43.279999,43.470001,42.445652,4756400
2016-03-22,42.000000,43.020000,41.840000,42.759998,41.752384,6721600
2016-03-23,42.799999,42.860001,41.580002,41.919998,40.932178,9583400
2016-03-24,41.880001,41.950001,40.189999,40.500000,39.545635,12515100
2016-03-28,41.000000,41.340000,40.330002,40.910000,39.945976,6402800
2016-03-29,40.900002,41.430000,40.770000,41.349998,40.375610,6782700
2016-03-30,41.750000,42.070000,41.360001,41.380001,40.404903,6076800
2016-03-31,41.500000,41.680000,40.980000,41.009998,40.043621,8138000
2016-04-01,40.130001,40.160000,39.270000,39.520000,38.588730,11244100
2016-04-04,39.810001,40.240002,39.150002,39.369999,38.442268,7831200
2016-04-05,39.130001,39.380001,38.740002,38.930000,38.012642,7648400
2016-04-06,39.070000,39.070000,38.340000,38.900002,37.983349,5645500
2016-04-07,38.660000,39.049999,37.910000,38.360001,37.456066,8206700
2016-04-08,38.700001,38.720001,38.119999,38.500000,37.592773,6087400
2016-04-11,38.790001,39.549999,38.669998,38.730000,37.817352,7932300
2016-04-12,38.820000,39.430000,38.759998,39.189999,38.266510,5889700
2016-04-13,39.299999,40.009998,38.889999,39.939999,38.998837,12493500
2016-04-14,40.340000,41.660000,40.250000,41.169998,40.199852,10124600
2016-04-15,41.299999,41.360001,40.720001,40.910000,39.945976,6982200
2016-04-18,41.180000,41.259998,40.439999,40.919998,39.955746,5234200
2016-04-19,40.990002,41.759998,40.970001,41.340000,40.365849,6650200
2016-04-20,41.360001,41.709999,41.110001,41.259998,40.287735,5018200
2016-04-21,40.799999,40.930000,39.799999,40.009998,39.067192,10782600
2016-04-22,37.680000,38.490002,37.009998,38.209999,37.309608,20939500
2016-04-25,38.160000,38.400002,36.919998,37.000000,36.128124,12670100
2016-04-26,37.270000,37.490002,36.259998,36.919998,36.050003,14692700
2016-04-27,36.790001,37.290001,36.520000,36.709999,35.844952,12305000
2016-04-28,37.040001,37.090000,35.889999,35.970001,35.122391,9836800
2016-04-29,35.810001,35.830002,34.099998,34.689999,33.872547,17807200
2016-05-02,34.990002,35.169998,34.400002,34.430000,33.715870,8829800
2016-05-03,34.759998,34.770000,33.849998,34.580002,33.862759,10674200
2016-05-04,34.169998,34.299999,33.000000,33.209999,32.521175,13402400
2016-05-05,33.279999,33.520000,32.730000,32.810001,32.129467,11606100
2016-05-06,32.669998,33.150002,32.189999,33.029999,32.344913,12749100
2016-05-09,33.029999,33.799999,32.939999,32.939999,32.256771,9312500
2016-05-10,33.240002,33.799999,33.090000,33.770000,33.069557,8118200
2016-05-11,33.680000,34.040001,32.849998,32.860001,32.178440,8148600
2016-05-12,33.009998,33.020000,31.290001,31.330000,30.680170,14228200
2016-05-13,31.090000,32.009998,31.080000,31.510000,30.856436,10132500
2016-05-16,31.809999,32.299999,30.990000,32.119999,31.453781,12397800
2016-05-17,32.250000,33.290001,32.020000,32.639999,31.962999,13303400
2016-05-18,32.610001,33.360001,32.340000,32.610001,31.933622,9136300
2016-05-19,32.279999,32.590000,31.690001,32.150002,31.483158,8875400
2016-05-20,32.299999,32.810001,31.950001,32.009998,31.346062,7278000
2016-05-23,32.029999,32.290001,31.700001,31.730000,31.071873,6488600
2016-05-24,31.889999,32.279999,31.850000,32.150002,31.483158,6962700
2016-05-25,32.389999,32.900002,32.099998,32.169998,31.502745,7401800
2016-05-26,32.130001,32.340000,31.370001,31.510000,30.856436,7157800
2016-05-27,31.600000,31.840000,31.410000,31.650000,30.993528,8573700
2016-05-31,31.750000,31.969999,31.330000,31.910000,31.248140,9618700
2016-06-01,31.940001,32.259998,31.730000,31.950001,31.287308,6415500
2016-06-02,31.670000,32.070000,31.580000,31.670000,31.013115,6811900
2016-06-03,31.590000,31.600000,30.370001,30.809999,30.170952,12424100
2016-06-06,30.770000,31.299999,30.379999,31.260000,30.611618,8335400
2016-06-07,31.459999,32.869999,31.100000,32.360001,31.688807,12424200
2016-06-08,32.630001,32.970001,32.220001,32.509998,31.835693,8173100
2016-06-09,32.250000,33.580002,32.250000,33.400002,32.707233,8188300
2016-06-10,32.799999,33.480000,32.639999,33.139999,32.452618,8252300
2016-06-13,32.990002,32.990002,31.639999,31.799999,31.140417,9225600
2016-06-14,31.809999,31.969999,30.020000,30.360001,29.730284,13802900
